Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18211.1393093648,21679.2478424147,42772.3591664498,52022.1255961876,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56748.4202606605,50019.9677677114,54093.6021908944,57305.2990162045
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.9896863626,24564.4582948404,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44176.6717431334,45103.3298149578,47380.8296365374,51512.9054751534
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1237.324491677,655.097432602586,4950.29479142375,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.32049702735,3880.73873089556,4147.08971569171,4721.17808673142
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,12356.4238963715,27097.6108115725,28552.1904783698,28443.4076553352,28006.3797183913,29485.6209294138,28944.7882168381,29563.746347465,31512.8565549457,31325.2948289503,31857.890145929,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8528.98333446095,13636.4082371396,19355.9046720264,20722.1372891348,22514.2379458146,23654.3513912828,24744.3576319157,24989.4001204704,22688.9443998144,22619.1166718849,23715.4827473156,24050.7575053956
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,306.268703808998,418.068968311378,702.264410019296,781.153593557047,861.758444349051,883.105000541313,981.839879150399,1118.8536634927,1248.45339778371,1401.62062821515,1563.99408178663,1698.26280233547
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7754.07859351295,11496.6023976576,15936.9841766748,16056.0165313276,16470.3678967585,16412.9362002115,16224.2873624673,16179.5839550601,16066.4718004795,15847.1427171829,16327.6072290756,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.84051428011,1276.2880341,5351.35538243278,6181.39991568753,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5761.74712023007,6289.93855308212
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20710.6443430806,23207.4059110078,44880.5730196227,44380.1766327308,47743.7805335086,44826.4396116648,46680.3898229483,47355.3120057387,40441.0520422361,41449.097361231,43507.2382031326,46556.0995671478
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,2197.18502331181,3364.42371065241,4243.43328407303,4331.43451672125,4501.60263689411,4626.70961538462,4652.50900308057,4790.94126203427,4883.179011063,4904.03433767644,4956.8080389814,5025.17810014332
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,393.686214423531,374.192394159235,793.452252617998,757.695907409377,825.940340926735,837.942920903364,915.315621163215,943.674649189169,783.963077800944,788.549196450986,827.429810110093,901.954052193336
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,26841.5197383946,56284.1686478094,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,564.77960950252,743.05013392049,1864.53680321311,2312.86009558743,2625.43325640946,2599.39609371453,2532.0156424178,2749.35266478192,2829.89124506544,3012.96140117114,3390.71407484432,3360.26686689029
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,709.05967248876,997.582459886835,1754.21106094735,1955.46155736098,2346.33717022581,2609.88081915425,2908.20008548078,3081.87883446506,3035.97221489277,3076.6589493424,3351.12405268555,3548.59013979338
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1467.77647716048,4714.7024950516,4635.51777931783,5092.55194328895,4778.63608845506,5131.39450642932,5329.63504488766,4727.27754622207,4994.68314045091,5394.59122017677,5951.32329883943
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2945.83203953801,3522.30867806396,5255.76846136181,6434.81565688465,7617.32509421648,7877.79035044357,7224.96517150786,7780.63838460394,6799.87523352768,7243.85601689195,7893.67593323318,8258.64166574691
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3100.28046842987,3749.75324996168,8597.91535151623,11286.2430162457,13245.615526158,12370.0242007149,12300.3225752233,12112.5903019529,8814.00098681261,8712.88704442864,9880.94654326324,8920.76210462979
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13607.5220957631,18012.5562597047,27955.7138629359,35269.5531076448,47055.8411171808,47741.9064650052,44740.085018517,41726.7839720342,31164.5620291141,27157.3462343457,28572.1094155048,31627.7420793167
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.52982128614,1609.88245178581,6969.55855668357,6843.26694975885,7813.80669236432,7378.02473005713,7646.83986554542,7864.76067225524,6993.78348267387,7469.45563823624,8228.0115697265,9272.62930360848
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,351.979322852536,226.47598136698,552.745588612739,575.446452687734,666.840119798738,673.821598361542,699.779405632453,703.820055595173,575.314454176311,583.83262029989,642.040426480339,731.171716967411
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,208.146755438253,136.46397080034,212.136880390025,234.235646874999,249.577979366801,252.358979858344,256.976002796754,274.857947913846,305.549772797441,282.149681511209,293.009061990821,275.429603285318
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,908.0961895607,1259.32365602588,3517.40124546087,3378.25485950035,3738.20116565213,3467.47268444877,3615.97904131099,3588.6740539538,3043.01398430098,3130.96338461412,3295.34110553408,3654.00734457117
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,..,302.577163565133,738.054783617506,785.502282874113,882.275492640073,950.880345993697,1013.4204006154,1093.49619050796,1162.90491997151,1269.59125737542,1385.2599796333,1512.12670972847
